second,Volt
-5.72E-08,-1.17E-02
-5.69E-08,-1.17E-02
-5.66E-08,-1.17E-02
-5.63E-08,-1.17E-02
-5.60E-08,-9.55E-03
-5.56E-08,-7.78E-03
-5.53E-08,-7.71E-03
-5.50E-08,-6.02E-03
-5.47E-08,-3.78E-03
-5.44E-08,-3.69E-03
-5.41E-08,-3.69E-03
-5.38E-08,-3.69E-03
-5.35E-08,-3.69E-03
-5.31E-08,-3.69E-03
-5.28E-08,-3.69E-03
-5.25E-08,-3.69E-03
-5.22E-08,-3.69E-03
-5.19E-08,-7.54E-03
-5.16E-08,-7.71E-03
-5.13E-08,-7.71E-03
-5.10E-08,-7.71E-03
-5.06E-08,-7.71E-03
-5.03E-08,-7.71E-03
-5.00E-08,-7.71E-03
-4.97E-08,-7.71E-03
-4.94E-08,-7.71E-03
-4.91E-08,-7.71E-03
-4.88E-08,-7.71E-03
-4.85E-08,-7.71E-03
-4.81E-08,-7.71E-03
-4.78E-08,-7.71E-03
-4.75E-08,-7.71E-03
-4.72E-08,-7.71E-03
-4.69E-08,-7.71E-03
-4.66E-08,-7.71E-03
-4.63E-08,-7.71E-03
-4.60E-08,-1.01E-02
-4.56E-08,-1.17E-02
-4.53E-08,-1.17E-02
-4.50E-08,-1.17E-02
-4.47E-08,-1.17E-02
-4.44E-08,-1.17E-02
-4.41E-08,-1.17E-02
-4.38E-08,-1.17E-02
-4.35E-08,-1.17E-02
-4.31E-08,-1.17E-02
-4.28E-08,-7.87E-03
-4.25E-08,-7.71E-03
-4.22E-08,-7.71E-03
-4.19E-08,-3.85E-03
-4.16E-08,-3.69E-03
-4.13E-08,-3.69E-03
-4.10E-08,-3.69E-03
-4.06E-08,-3.69E-03
-4.03E-08,-3.69E-03
-4.00E-08,-3.69E-03
-3.97E-08,-3.69E-03
-3.94E-08,-3.69E-03
-3.91E-08,-3.69E-03
-3.88E-08,-3.69E-03
-3.85E-08,-6.10E-03
-3.81E-08,-7.65E-03
-3.78E-08,-7.71E-03
-3.75E-08,-7.71E-03
-3.72E-08,-7.71E-03
-3.69E-08,-7.71E-03
-3.66E-08,-7.71E-03
-3.63E-08,-7.71E-03
-3.60E-08,-7.71E-03
-3.56E-08,-7.71E-03
-3.53E-08,-7.71E-03
-3.50E-08,-7.71E-03
-3.47E-08,-7.71E-03
-3.44E-08,-3.85E-03
-3.41E-08,-3.69E-03
-3.38E-08,-3.69E-03
-3.35E-08,-6.10E-03
-3.31E-08,-7.65E-03
-3.28E-08,-7.71E-03
-3.25E-08,-7.71E-03
-3.22E-08,-7.71E-03
-3.19E-08,-7.71E-03
-3.16E-08,-7.71E-03
-3.13E-08,-7.71E-03
-3.10E-08,-7.71E-03
-3.06E-08,-7.71E-03
-3.03E-08,-7.71E-03
-3.00E-08,-7.71E-03
-2.97E-08,-7.71E-03
-2.94E-08,-7.71E-03
-2.91E-08,-7.71E-03
-2.88E-08,-7.71E-03
-2.85E-08,-1.01E-02
-2.81E-08,-1.17E-02
-2.78E-08,-1.56E-02
-2.75E-08,-1.94E-02
-2.72E-08,-2.36E-02
-2.69E-08,-2.38E-02
-2.66E-08,-2.52E-02
-2.63E-08,-2.77E-02
-2.60E-08,-2.78E-02
-2.56E-08,-2.78E-02
-2.53E-08,-3.17E-02
-2.50E-08,-3.18E-02
-2.47E-08,-3.18E-02
-2.44E-08,-2.80E-02
-2.41E-08,-2.66E-02
-2.38E-08,-2.39E-02
-2.35E-08,-2.16E-02
-2.31E-08,-1.98E-02
-2.28E-08,-1.20E-02
-2.25E-08,-1.00E-02
-2.22E-08,-7.80E-03
-2.19E-08,-7.71E-03
-2.16E-08,-6.50E-03
-2.13E-08,-3.80E-03
-2.10E-08,-3.69E-03
-2.06E-08,-3.69E-03
-2.03E-08,-7.54E-03
-2.00E-08,-7.71E-03
-1.97E-08,-7.71E-03
-1.94E-08,-7.71E-03
-1.91E-08,-9.15E-03
-1.88E-08,-1.16E-02
-1.85E-08,-1.17E-02
-1.81E-08,-1.17E-02
-1.78E-08,-1.17E-02
-1.75E-08,-1.17E-02
-1.72E-08,-1.17E-02
-1.69E-08,-7.87E-03
-1.66E-08,-7.71E-03
-1.63E-08,-7.71E-03
-1.60E-08,-7.71E-03
-1.56E-08,-7.71E-03
-1.53E-08,-3.85E-03
-1.50E-08,-3.69E-03
-1.47E-08,-3.69E-03
-1.44E-08,-3.69E-03
-1.41E-08,-3.69E-03
-1.38E-08,-3.69E-03
-1.35E-08,-6.10E-03
-1.31E-08,-7.65E-03
-1.28E-08,-7.71E-03
-1.25E-08,-6.02E-03
-1.22E-08,-3.78E-03
-1.19E-08,-3.69E-03
-1.16E-08,-3.69E-03
-1.13E-08,-3.69E-03
-1.10E-08,-3.69E-03
-1.06E-08,-3.69E-03
-1.03E-08,1.74E-04
-1.00E-08,3.34E-04
-9.70E-09,3.34E-04
-9.39E-09,3.34E-04
-9.08E-09,3.34E-04
-8.76E-09,3.34E-04
-8.45E-09,-2.08E-03
-8.14E-09,-3.63E-03
-7.83E-09,-7.54E-03
-7.51E-09,-1.13E-02
-7.20E-09,-1.56E-02
-6.89E-09,-2.73E-02
-6.58E-09,-3.05E-02
-6.26E-09,-3.56E-02
-5.95E-09,-4.28E-02
-5.64E-09,-4.77E-02
-5.33E-09,-6.72E-02
-5.01E-09,-8.05E-02
-4.70E-09,-9.55E-02
-4.39E-09,-1.42E-01
-4.08E-09,-1.62E-01
-3.76E-09,-1.95E-01
-3.45E-09,-2.28E-01
-3.14E-09,-2.52E-01
-2.83E-09,-3.03E-01
-2.51E-09,-3.23E-01
-2.20E-09,-3.45E-01
-1.89E-09,-3.72E-01
-1.58E-09,-3.76E-01
-1.26E-09,-3.81E-01
-9.50E-10,-3.82E-01
-6.38E-10,-3.82E-01
-3.25E-10,-3.62E-01
-1.25E-11,-3.44E-01
3.00E-10,-3.22E-01
6.13E-10,-2.71E-01
9.25E-10,-2.50E-01
1.24E-09,-2.10E-01
1.55E-09,-1.75E-01
1.86E-09,-1.49E-01
2.18E-09,-9.05E-02
2.49E-09,-6.86E-02
2.80E-09,-4.48E-02
3.11E-09,-1.30E-02
3.43E-09,-6.66E-03
3.74E-09,3.92E-03
4.05E-09,6.53E-03
4.36E-09,8.30E-03
4.68E-09,6.56E-04
4.99E-09,-3.28E-03
5.30E-09,-7.53E-03
5.61E-09,-1.54E-02
5.93E-09,-1.72E-02
6.24E-09,-1.97E-02
6.55E-09,-2.22E-02
6.86E-09,-2.37E-02
7.18E-09,-2.38E-02
7.49E-09,-2.21E-02
7.80E-09,-1.99E-02
8.11E-09,-1.59E-02
8.43E-09,-1.45E-02
8.74E-09,-1.18E-02
9.05E-09,-7.38E-03
9.36E-09,-3.83E-03
9.68E-09,1.74E-04
9.99E-09,2.02E-03
1.03E-08,4.26E-03
1.06E-08,8.21E-03
1.09E-08,9.58E-03
1.12E-08,1.23E-02
1.16E-08,1.67E-02
1.19E-08,2.03E-02
1.22E-08,3.20E-02
1.25E-08,3.95E-02
1.28E-08,4.82E-02
1.31E-08,6.40E-02
1.34E-08,7.09E-02
1.37E-08,8.42E-02
1.41E-08,9.15E-02
1.44E-08,9.66E-02
1.47E-08,1.05E-01
1.50E-08,1.05E-01
1.53E-08,1.05E-01
1.56E-08,9.33E-02
1.59E-08,8.75E-02
1.62E-08,7.71E-02
1.66E-08,6.30E-02
1.69E-08,5.30E-02
1.72E-08,2.56E-02
1.75E-08,1.19E-02
1.78E-08,-3.08E-03
1.81E-08,-2.68E-02
1.84E-08,-3.58E-02
1.87E-08,-5.13E-02
1.91E-08,-5.89E-02
1.94E-08,-6.38E-02
1.97E-08,-7.17E-02
2.00E-08,-7.03E-02
2.03E-08,-6.81E-02
2.06E-08,-5.64E-02
2.09E-08,-5.09E-02
2.12E-08,-4.03E-02
2.16E-08,-3.09E-02
2.19E-08,-2.41E-02
2.22E-08,-8.35E-03
2.25E-08,-2.40E-03
2.28E-08,4.09E-03
2.31E-08,8.21E-03
2.34E-08,8.37E-03
2.37E-08,8.37E-03
2.41E-08,5.96E-03
2.44E-08,4.41E-03
2.47E-08,4.95E-04
2.50E-08,-3.28E-03
2.53E-08,-7.53E-03
2.56E-08,-1.16E-02
2.59E-08,-1.32E-02
2.62E-08,-1.56E-02
2.66E-08,-1.57E-02
2.69E-08,-1.57E-02
2.72E-08,-1.57E-02
2.75E-08,-1.57E-02
2.78E-08,-1.57E-02
2.81E-08,-1.57E-02
2.84E-08,-1.72E-02
2.87E-08,-1.97E-02
2.91E-08,-2.22E-02
2.94E-08,-2.37E-02
2.97E-08,-2.76E-02
3.00E-08,-2.97E-02
3.03E-08,-3.17E-02
3.06E-08,-3.95E-02
3.09E-08,-4.13E-02
3.12E-08,-4.38E-02
3.16E-08,-4.17E-02
3.19E-08,-3.99E-02
3.22E-08,-3.60E-02
3.25E-08,-3.25E-02
3.28E-08,-2.80E-02
3.31E-08,-1.62E-02
3.34E-08,-1.19E-02
3.37E-08,-4.01E-03
3.41E-08,5.24E-03
3.44E-08,1.21E-02
3.47E-08,2.40E-02
3.50E-08,2.78E-02
3.53E-08,3.23E-02
3.56E-08,3.25E-02
3.59E-08,3.25E-02
3.62E-08,3.25E-02
3.66E-08,2.79E-02
3.69E-08,2.46E-02
3.72E-08,1.67E-02
3.75E-08,9.18E-03
3.78E-08,6.76E-04
3.81E-08,-1.12E-02
3.84E-08,-1.44E-02
3.87E-08,-1.96E-02
3.91E-08,-2.43E-02
3.94E-08,-2.77E-02
3.97E-08,-3.17E-02
4.00E-08,-3.01E-02
4.03E-08,-2.79E-02
4.06E-08,-2.39E-02
4.09E-08,-2.14E-02
4.12E-08,-1.60E-02
4.16E-08,-1.14E-02
4.19E-08,-7.85E-03
4.22E-08,-3.85E-03
4.25E-08,-2.00E-03
4.28E-08,2.44E-04
4.31E-08,3.34E-04
4.34E-08,3.34E-04
4.37E-08,3.34E-04
4.41E-08,3.34E-04
4.44E-08,3.34E-04
4.47E-08,-3.52E-03
4.50E-08,-5.62E-03
4.53E-08,-7.63E-03
4.56E-08,-7.71E-03
4.59E-08,-7.71E-03
4.62E-08,-7.71E-03
4.66E-08,-5.53E-03
4.69E-08,-3.76E-03
4.72E-08,-3.69E-03
4.75E-08,-2.00E-03
4.78E-08,2.44E-04
4.81E-08,3.34E-04
4.84E-08,3.34E-04
4.87E-08,3.34E-04
4.91E-08,-2.08E-03
4.94E-08,-3.63E-03
4.97E-08,-7.54E-03
5.00E-08,-1.13E-02
5.03E-08,-1.56E-02
5.06E-08,-2.35E-02
5.09E-08,-2.52E-02
5.12E-08,-2.77E-02
5.16E-08,-3.02E-02
5.19E-08,-3.18E-02
5.22E-08,-3.18E-02
5.25E-08,-3.01E-02
5.28E-08,-2.79E-02
5.31E-08,-2.39E-02
5.34E-08,-2.14E-02
5.37E-08,-1.60E-02
5.41E-08,-1.14E-02
5.44E-08,-7.85E-03
5.47E-08,-3.85E-03
5.50E-08,-3.09E-04
5.53E-08,4.17E-03
5.56E-08,8.21E-03
5.59E-08,8.37E-03
5.62E-08,8.37E-03
5.66E-08,8.37E-03
5.69E-08,8.37E-03
5.72E-08,6.56E-04
5.75E-08,-1.60E-03
5.78E-08,-3.61E-03
5.81E-08,-1.14E-02
5.84E-08,-1.32E-02
5.87E-08,-1.56E-02
5.91E-08,-1.82E-02
5.94E-08,-1.97E-02
5.97E-08,-1.98E-02
6.00E-08,-1.98E-02
6.03E-08,-1.98E-02
6.06E-08,-1.59E-02
6.09E-08,-1.45E-02
6.12E-08,-1.18E-02
6.16E-08,-9.55E-03
6.19E-08,-7.78E-03
6.22E-08,-3.85E-03
6.25E-08,-3.69E-03
6.28E-08,-3.69E-03
6.31E-08,-3.69E-03
6.34E-08,-3.69E-03
6.37E-08,-3.69E-03
6.41E-08,-6.10E-03
6.44E-08,-7.65E-03
6.47E-08,-7.71E-03
6.50E-08,-9.64E-03
6.53E-08,-1.16E-02
6.56E-08,-1.17E-02
6.59E-08,-1.05E-02
6.62E-08,-7.82E-03
6.66E-08,-7.71E-03
6.69E-08,-7.71E-03
6.72E-08,-3.85E-03
6.75E-08,-2.00E-03
6.78E-08,2.44E-04
6.81E-08,4.19E-03
6.84E-08,4.35E-03
6.87E-08,4.35E-03
6.91E-08,1.94E-03
6.94E-08,3.95E-04
6.97E-08,3.34E-04
7.00E-08,-1.60E-03
7.03E-08,-3.61E-03
7.06E-08,-7.54E-03
7.09E-08,-9.15E-03
7.12E-08,-1.16E-02
7.16E-08,-1.41E-02
7.19E-08,-1.57E-02
7.22E-08,-1.96E-02
7.25E-08,-1.98E-02
7.28E-08,-1.98E-02
7.31E-08,-1.59E-02
7.34E-08,-1.45E-02
7.37E-08,-1.18E-02
7.41E-08,-9.55E-03
7.44E-08,-7.78E-03
7.47E-08,-3.85E-03
7.50E-08,-2.00E-03
7.53E-08,2.44E-04
7.56E-08,4.19E-03
7.59E-08,4.35E-03
7.62E-08,4.35E-03
7.66E-08,1.94E-03
7.69E-08,3.95E-04
7.72E-08,3.34E-04
7.75E-08,-1.60E-03
7.78E-08,-3.61E-03
7.81E-08,-7.54E-03
7.84E-08,-9.15E-03
7.87E-08,-1.16E-02
7.91E-08,-1.17E-02
7.94E-08,-1.17E-02
7.97E-08,-1.17E-02
8.00E-08,-1.17E-02
8.03E-08,-1.17E-02
8.06E-08,-7.87E-03
8.09E-08,-7.71E-03
8.12E-08,-7.71E-03
8.16E-08,-7.71E-03
8.19E-08,-7.71E-03
8.22E-08,-7.71E-03
8.25E-08,-7.71E-03
8.28E-08,-7.71E-03
8.31E-08,-7.71E-03
8.34E-08,-9.15E-03
8.37E-08,-1.16E-02
8.41E-08,-1.17E-02
8.44E-08,-1.17E-02
8.47E-08,-1.56E-02
8.50E-08,-1.57E-02
8.53E-08,-1.57E-02
8.56E-08,-1.57E-02
8.59E-08,-1.57E-02
8.62E-08,-1.57E-02
8.66E-08,-1.36E-02
8.69E-08,-1.18E-02
8.72E-08,-7.87E-03
8.75E-08,-6.02E-03
8.78E-08,-3.78E-03
8.81E-08,-3.69E-03
8.84E-08,-2.48E-03
8.87E-08,2.24E-04
8.91E-08,3.34E-04
8.94E-08,3.34E-04
8.97E-08,-3.52E-03
9.00E-08,-3.69E-03
9.03E-08,-3.69E-03
9.06E-08,-7.54E-03
9.09E-08,-9.15E-03
9.12E-08,-1.16E-02
9.16E-08,-1.17E-02
9.19E-08,-1.17E-02
9.22E-08,-1.56E-02
9.25E-08,-1.57E-02
9.28E-08,-1.57E-02
9.31E-08,-1.19E-02
9.34E-08,-1.17E-02
9.37E-08,-1.17E-02
9.41E-08,-9.55E-03
9.44E-08,-7.78E-03
9.47E-08,-7.71E-03
9.50E-08,-6.02E-03
9.53E-08,-3.78E-03
9.56E-08,-3.69E-03
9.59E-08,-3.69E-03
9.62E-08,-3.69E-03
